	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
154	Hoya	HILUX 1.5 SHV				
155	Hoya	HILUX 1.5 HVA				
156	Hoya	HILUX 1.50 Hard Сoat				
157	Hoya	ADDPOWER 1.5 HVA				
158	Hoya	HILUX 1.5 OFFICE GREEN SHV				
159	Grandvision	MAXIMA AS 1.6 HMC PROTECT+				
160	Grandvision	MAXIMA 1.6 HMC				
161	Grandvision	MAXIMA 1.5 Protect +				
162	Grandvision	MAXIMA 1.5 HMC				
163	Grandvision	MAXIMA 1.56 Sunactives BROWN HMC				
164	Grandvision	MAXIMA 1.56 Sunactives GREY HMC				
165	Gucci	KJ1	55	19	135	140
166	Leonardo D.	Оправа Leonardo D. LD 594 60	56	20	140	145
167	Silhouette	Солнцезащитные очки Silhouette 8685-6225	54	17	130	135
168	Emporio Armani	EA 1041-3130	55	17	140	137
169	Prada	VPS 03M 573-1O1	55	16	145	138
170	Jaguar	Оправа JAGUAR 31015-6499	58	13	140	134
171	Fisher Price Kids	FPVN018, ORG (47)	47	15	130	121
172	Fisher Price Kids	FPVN004, BLK (47)	47	16	120	126
173	Pensne	PO-S	38	20		110
174	Essilor	Orma 1.5 Supra				
175	Essilor	Orma 1.5 Trio				
176	Essilor	FSV Trio 1.56				
177	Essilor	Sharp Trio 1.61				
178	Essilor	Ormix 1.61 Crizal Easy pro				
179	Alexander Mcqueen	AMQ 4248/S, 8RP	60	13	140	140
180	Carrera	CARRERA 4003/S, 011	64	13	120	140
181	Carrera	CARRERA 4003/S, 003	64	13	120	140
182	Emilio Pucci	EP 5031-071	52	15	140	130
183	Emilio Pucci	EP 2713 210	53	15	135	135
184	Silhouette	Солнцезащитные очки Silhouette 8657-6201	59	18	140	145
185	Essilor	AS Ormix 1.61 Crizal Easy pro				
186	Essilor	Airwear 1.59 Trio				
187	Carrera	CARRERA 4001/S, 01A	75	12	120	145
188	Oxydo	OX 1070/SC/S, 4L5	51	19	145	145
189	Nikon	Lite SP 1.5 ECC				
190	Nikon	Lite SP 1.5 ECC (astigmatism)				
191	Nikon	Lite SP 1.5 SeeCoat Blue UV				
192	Nikon	Lite AS 1.5 ECC				
193	Nikon	Lite AS 1.5 ECC (astigmatism)				
194	Nikon	Lite SP 1.5 Transitions Gen8 Grey ECC UV				
195	Nikon	Lite AS 1.6 Transitions Gen 8 Brown ECC UV				
196	Nikon	Lite AS 1.6 Transitions Gen 8 Grey ECC UV				
197	Nikon	Relaxsee 1.5 ECC Blue				
198	Nikon	Soltes Wide 1.5 ECC Blue				
199	Nikon	Home&amp;Office 1.5 ECC Blue				
200	Nikon	Lite SP 1.6 ECC				
201	Nikon	Lite SP 1.6 ECC (astigmatism)				
202	Nikon	Lite SP 1.6  SeeCoat Next				
203	Nikon	Lite SP 1.6 SeeCoat Next (astigmatism)				
204	Nikon	Lite AS 1.6 SeeCoat Next				
205	Nikon	Lite AS 1.6 SeeCoat Next (astigmatism)				
206	Nikon	Lite DAS 1.6 Myopsee SeeCoat Next				
207	Nikon	Lite DAS 1.6 Myopsee SeeCoat Next (E)				
208	Nikon	Lite AS 1.67 SeeCoat Next				
209	Nikon	Lite AS 1.67 SeeCoat Next (astigmatism, E)				
210	Nikon	Lite AS 1.67 SeeCoat Next (E)				
211	Nikon	Lite DAS 1.67 Myopsee SeeCoat Next (E)				
212	Nikon	Lite DAS 1.67 SeeCoat Next (astigmatism, E)				
213	Nikon	Lite AS 1.74 SeeCoat Next (E)				
214	Nikon	Lite AS 1.74 SeeCoat Next (astigmatism, E)				
215	Nikon	Lite DAS 1.74 Myopsee SeeCoat Next (E)				
216	Nikon	Lite DAS 1.74 Myopsee SeeCoat Next (astigmatism, E)				
217	Essilor	Orma Kids Baby 1.5 Trio (диаметр 55)				
218	Essilor	Orma Kids Baby 1.5 Trio (астигматизм, диаметр 55)				
219	Essilor	Orma Kids 1.5 Junior Trio (диаметр 60)				
220	Essilor	Orma Kids Junior 1.5 Trio (астигматизм, диаметр 60)				
221	Essilor	Airwear Kids Junior D60/Baby D55 1.59 Trio				
222	Essilor	Airwear Kids Kids Junior D60/Baby D55 1.59 Trio (астигматизм)				
223	Essilor	X*ion Orma 1,5 Crizal Easy UV (R)				
224	Essilor	X*ion Orma 1.5 Acclimates Grey Crizal Easy UV (R)				
225	Essilor	Очковая линза ESSILOR X*ion Ormix 1.61 Acclimates Brown Crizal Easy UV (R)				
226	Essilor	X*ion Orma 1.5 Acclimates Brown Crizal Easy UV (R)				
227	Essilor	Очковая линза ESSILOR X*ion Ormix 1.61 Acclimates Grey Crizal Easy UV(R)				
228	Essilor	X*ion Ormix 1.61 Crizal Easy UV (R)				
229	Essilor	Очковая линза ESSILOR X*ion Ormix 1.61 Crizal Easy UV astigmatism (R)				
230	Essilor	Очковая линза ESSILOR X*ion Ormix 1.61 Acclimates Grey Crizal Easy UV astigmatism(R)				
231	Essilor	Очковая линза ESSILOR X*ion Ormix 1.61 AcclimatesBrown Crizal Easy UV astigmatism (R)				
232	Essilor	X*ion Orma 1.5 Crizal Easy UV astigmatism (R)				
233	Essilor	X*ion Orma 1.5 Acclimates Grey Crizal Easy UV astigmatism (R)				
234	Essilor	X*ion Orma 1.5  Acclimates Brown Crizal Easy UV (astigmatism) (R)				
235	Essilor	Ormix 1.61 Crizal Prevencia				
236	Fisher Price Kids	FPV/19 c.580 (36)	36	15	115	110
237	Rodenstock	A	59	18	130	135
238	Rodenstock	C	57	16	130	135
239	Porsche Design	D	64	12	140	145
240	Eyelet Kids	Оправа EYELET, EJ138 A1	47	18	115	120
241	Top Vision	SP 1.5 HMC				
242	Top Vision	ASP 1.6 HMC				
243	Top Vision	ASP 1.67 HMC				
244	Top Vision	SP 1.5 Bifocal FT28 HC				
245	Top Vision	SP 1.5 Bifocal FT28 HMC				
246	Swarovski	FELINI SW 5157-F 071	55	16	145	140
247	Dario Martini	DM375 col.2	58	19	140	145
248	Tod's	TO 5083-020	54	15	140	135
249	Silhouette	Солнцезащитные очки Silhouette 3190-6206	56	16	130	145
250	Tod's	TO 47, 81W	58	16	135	145
251	Tod's	TO 60, 52F	53	18	140	140
252	Carrera	CARRERA HYPERFIT 23, 003	50	22	145	139
